Model,MSO3054
Firmware Version,2.31

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-06
Horizontal Delay,0
Sample Interval,4e-09
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Vertical Position,0
Label,
TIME,CH1
-1.8324e-05,-0.0128
-1.8320e-05,-0.0568
-1.8316e-05,0.0768
-1.8312e-05,-0.0232
-1.8308e-05,-0.0456
-1.8304e-05,0.0776
-1.8300e-05,-0.032
-1.8296e-05,-0.0408
-1.8292e-05,0.076
-1.8288e-05,-0.0432
-1.8284e-05,-0.028
-1.8280e-05,0.0744
-1.8276e-05,-0.0512
-1.8272e-05,-0.0176
-1.8268e-05,0.0728
-1.8264e-05,-0.0592
-1.8260e-05,-0.0032
-1.8256e-05,0.068
-1.8252e-05,-0.0696
-1.8248e-05,0.0072
-1.8244e-05,0.064
-1.8240e-05,-0.0728
-1.8236e-05,0.0184
-1.8232e-05,0.052
-1.8228e-05,-0.076
-1.8224e-05,0.0296
-1.8220e-05,0.0456
-1.8216e-05,-0.0752
-1.8212e-05,0.04
-1.8208e-05,0.0344
-1.8204e-05,-0.0744
-1.8200e-05,0.048
-1.8196e-05,0.0216
-1.8192e-05,-0.0752
-1.8188e-05,0.06
-1.8184e-05,0.0144
-1.8180e-05,-0.068
-1.8176e-05,0.0648
-1.8172e-05,0
-1.8168e-05,-0.0656
-1.8164e-05,0.0712
-1.8160e-05,-0.0064
-1.8156e-05,-0.06
-1.8152e-05,0.0712
-1.8148e-05,-0.0208
-1.8144e-05,-0.0496
-1.8140e-05,0.0776
-1.8136e-05,-0.0336
-1.8132e-05,-0.0368
-1.8128e-05,0.076
-1.8124e-05,-0.0416
-1.8120e-05,-0.0288
-1.8116e-05,0.0776
-1.8112e-05,-0.0512
-1.8108e-05,-0.0208
-1.8104e-05,0.0752
-1.8100e-05,-0.0592
-1.8096e-05,-0.0056
-1.8092e-05,0.0696
-1.8088e-05,-0.064
-1.8084e-05,0.0072
-1.8080e-05,0.064
-1.8076e-05,-0.0704
-1.8072e-05,0.0176
-1.8068e-05,0.0576
-1.8064e-05,-0.0776
-1.8060e-05,0.0304
-1.8056e-05,0.0464
-1.8052e-05,-0.0768
-1.8048e-05,0.0384
-1.8044e-05,0.0352
-1.8040e-05,-0.0776
-1.8036e-05,0.0496
