Model,MSO3054
Firmware Version,2.31

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-06
Horizontal Delay,1.63196e-06
Sample Interval,4e-10
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,-0.1
Label,
TIME,CH1
-1.81160e-05,-0.033
-1.81156e-05,-0.091
-1.81152e-05,-0.017
-1.81148e-05,0.081
-1.81144e-05,0.071
-1.81140e-05,-0.035
-1.81136e-05,-0.095
-1.81132e-05,-0.025
-1.81128e-05,0.077
-1.81124e-05,0.071
-1.81120e-05,-0.033
-1.81116e-05,-0.089
-1.81112e-05,-0.023
-1.81108e-05,0.081
-1.81104e-05,0.073
-1.81100e-05,-0.033
-1.81096e-05,-0.093
-1.81092e-05,-0.023
-1.81088e-05,0.073
-1.81084e-05,0.073
-1.81080e-05,-0.027
-1.81076e-05,-0.091
-1.81072e-05,-0.027
-1.81068e-05,0.073
-1.81064e-05,0.075
-1.81060e-05,-0.027
-1.81056e-05,-0.095
-1.81052e-05,-0.031
-1.81048e-05,0.073
-1.81044e-05,0.075
-1.81040e-05,-0.025
-1.81036e-05,-0.091
-1.81032e-05,-0.031
-1.81028e-05,0.075
-1.81024e-05,0.079
-1.81020e-05,-0.019
-1.81016e-05,-0.091
-1.81012e-05,-0.029
-1.81008e-05,0.071
-1.81004e-05,0.081
-1.81000e-05,-0.019
-1.80996e-05,-0.089
-1.80992e-05,-0.031
-1.80988e-05,0.071
-1.80984e-05,0.077
-1.80980e-05,-0.023
-1.80976e-05,-0.095
-1.80972e-05,-0.037
-1.80968e-05,0.067
-1.80964e-05,0.083
-1.80960e-05,-0.015
-1.80956e-05,-0.095
-1.80952e-05,-0.037
-1.80948e-05,0.071
-1.80944e-05,0.085
-1.80940e-05,-0.007
-1.80936e-05,-0.087
-1.80932e-05,-0.041
-1.80928e-05,0.065
-1.80924e-05,0.083
-1.80920e-05,-0.013
-1.80916e-05,-0.087
-1.80912e-05,-0.035
-1.80908e-05,0.071
-1.80904e-05,0.087
-1.80900e-05,-0.011
-1.80896e-05,-0.093
-1.80892e-05,-0.043
-1.80888e-05,0.063
-1.80884e-05,0.083
-1.80880e-05,-0.011
-1.80876e-05,-0.093
-1.80872e-05,-0.049
-1.80868e-05,0.059
-1.80864e-05,0.083
-1.80860e-05,-0.003
-1.80856e-05,-0.085
-1.80852e-05,-0.043
-1.80848e-05,0.061
-1.80844e-05,0.083
-1.80840e-05,-0.005
-1.80836e-05,-0.087
-1.80832e-05,-0.047
-1.80828e-05,0.063
-1.80824e-05,0.091
-1.80820e-05,0.003
-1.80816e-05,-0.085
-1.80812e-05,-0.053
-1.80808e-05,0.057
-1.80804e-05,0.087
-1.80800e-05,-0.003
-1.80796e-05,-0.087
-1.80792e-05,-0.049
-1.80788e-05,0.051
-1.80784e-05,0.083
-1.80780e-05,0.003
-1.80776e-05,-0.085
-1.80772e-05,-0.051
-1.80768e-05,0.059
-1.80764e-05,0.089
-1.80760e-05,0.005
-1.80756e-05,-0.085
-1.80752e-05,-0.055
-1.80748e-05,0.057
-1.80744e-05,0.095
-1.80740e-05,0.009
-1.80736e-05,-0.083
-1.80732e-05,-0.055
-1.80728e-05,0.051
-1.80724e-05,0.093
-1.80720e-05,0.007
-1.80716e-05,-0.087
-1.80712e-05,-0.057
-1.80708e-05,0.047
-1.80704e-05,0.089
-1.80700e-05,0.009
-1.80696e-05,-0.085
-1.80692e-05,-0.059
-1.80688e-05,0.047
-1.80684e-05,0.093
-1.80680e-05,0.013
-1.80676e-05,-0.083
-1.80672e-05,-0.061
-1.80668e-05,0.049
-1.80664e-05,0.093
-1.80660e-05,0.015
-1.80656e-05,-0.085
-1.80652e-05,-0.065
-1.80648e-05,0.049
-1.80644e-05,0.091
-1.80640e-05,0.017
-1.80636e-05,-0.079
-1.80632e-05,-0.063
-1.80628e-05,0.041
-1.80624e-05,0.093
-1.80620e-05,0.019
-1.80616e-05,-0.075
-1.80612e-05,-0.063
-1.80608e-05,0.037
-1.80604e-05,0.089
-1.80600e-05,0.017
-1.80596e-05,-0.081
-1.80592e-05,-0.069
-1.80588e-05,0.039
-1.80584e-05,0.089
-1.80580e-05,0.019
-1.80576e-05,-0.079
-1.80572e-05,-0.071
-1.80568e-05,0.031
-1.80564e-05,0.095
-1.80560e-05,0.027
-1.80556e-05,-0.079
-1.80552e-05,-0.069
-1.80548e-05,0.037
-1.80544e-05,0.095
-1.80540e-05,0.027
-1.80536e-05,-0.073
-1.80532e-05,-0.065
-1.80528e-05,0.037
-1.80524e-05,0.099
-1.80520e-05,0.029
-1.80516e-05,-0.075
-1.80512e-05,-0.075
-1.80508e-05,0.033
-1.80504e-05,0.095
-1.80500e-05,0.027
-1.80496e-05,-0.075
-1.80492e-05,-0.073
-1.80488e-05,0.031
-1.80484e-05,0.093
-1.80480e-05,0.031
-1.80476e-05,-0.069
-1.80472e-05,-0.075
-1.80468e-05,0.023
-1.80464e-05,0.091
-1.80460e-05,0.033
-1.80456e-05,-0.073
-1.80452e-05,-0.081
-1.80448e-05,0.029
-1.80444e-05,0.099
-1.80440e-05,0.033
-1.80436e-05,-0.069
-1.80432e-05,-0.075
-1.80428e-05,0.025
-1.80424e-05,0.093
-1.80420e-05,0.037
-1.80416e-05,-0.067
-1.80412e-05,-0.077
-1.80408e-05,0.023
-1.80404e-05,0.093
-1.80400e-05,0.035
-1.80396e-05,-0.073
-1.80392e-05,-0.081
-1.80388e-05,0.021
-1.80384e-05,0.095
-1.80380e-05,0.041
-1.80376e-05,-0.067
-1.80372e-05,-0.079
-1.80368e-05,0.019
-1.80364e-05,0.095
-1.80360e-05,0.037
-1.80356e-05,-0.067
-1.80352e-05,-0.083
-1.80348e-05,0.017
-1.80344e-05,0.091
-1.80340e-05,0.043
-1.80336e-05,-0.057
-1.80332e-05,-0.079
-1.80328e-05,0.011
-1.80324e-05,0.097
-1.80320e-05,0.043
-1.80316e-05,-0.063
-1.80312e-05,-0.081
-1.80308e-05,0.015
-1.80304e-05,0.089
-1.80300e-05,0.049
-1.80296e-05,-0.057
-1.80292e-05,-0.085
-1.80288e-05,0.009
-1.80284e-05,0.091
-1.80280e-05,0.049
-1.80276e-05,-0.059
-1.80272e-05,-0.081
-1.80268e-05,0.009
-1.80264e-05,0.093
-1.80260e-05,0.051
-1.80256e-05,-0.057
-1.80252e-05,-0.085
-1.80248e-05,0.009
-1.80244e-05,0.091
-1.80240e-05,0.049
-1.80236e-05,-0.057
-1.80232e-05,-0.087
-1.80228e-05,0.005
-1.80224e-05,0.089
-1.80220e-05,0.053
-1.80216e-05,-0.055
-1.80212e-05,-0.089
-1.80208e-05,0.001
-1.80204e-05,0.089
-1.80200e-05,0.049
-1.80196e-05,-0.053
-1.80192e-05,-0.085
-1.80188e-05,0.001
-1.80184e-05,0.091
-1.80180e-05,0.057
-1.80176e-05,-0.053
-1.80172e-05,-0.087
-1.80168e-05,0.005
-1.80164e-05,0.093
-1.80160e-05,0.061
-1.80156e-05,-0.049
-1.80152e-05,-0.089
-1.80148e-05,-0.005
-1.80144e-05,0.085
-1.80140e-05,0.061
-1.80136e-05,-0.049
-1.80132e-05,-0.087
-1.80128e-05,-0.005
-1.80124e-05,0.085
-1.80120e-05,0.059
-1.80116e-05,-0.049
-1.80112e-05,-0.089
-1.80108e-05,-0.009
-1.80104e-05,0.087
-1.80100e-05,0.071
-1.80096e-05,-0.039
